source,campaign_id,prefix_len,prefix,true_label,llm_thinking_process,predicted_next_ttps,raw_output,generation_status,has_reasoning,valid_reasoning,schema_valid,schema_error,valid_top5,three_sections_present,sections_nonempty,finish_reason,model_returned,completion_id,system_fingerprint,request_id,reasoning_content_len,attempt,latency_ms,http_status,error_type,error_message,kg_snippet_ids,kg_chars_before,kg_chars_after,kg_empty_reason,generated_at,input_tokens,output_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,estimated_cost_usd
ctid,carbanak::unknown,7,"[""T1113"",""T1112"",""T1140"",""T1003"",""T1105"",""T1570"",""T1021""]",T1057,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,1119,402,unknown_error,Insufficient Balance,"[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de"", ""relationship::relationship--0109ee05-c2a9-4dcf-80d1-f859500c97c9""]",1381,692,,2026-08-06T08:00:02.613305+00:00,0,0,0,0,0.0
ctid,sandworm::unknown,10,"[""T1105"",""T1505"",""T1033"",""T1082"",""T1083"",""T1003"",""T1105"",""T1548"",""T1053"",""T1543""]",T1003,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,1345,402,unknown_error,Insufficient Balance,"[""relationship::relationship--005b6fd1-be80-424b-b6df-2ff88d390b1b"", ""relationship::relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9"", ""relationship::relationship--01b95067-ba65-48c2-8d2c-342e13007cc8"", ""relationship::relationship--02af155a-ed26-4807-99c5-f88477a6e143""]",1381,699,,2026-08-06T08:00:02.839281+00:00,0,0,0,0,0.0
ctid,fin7::unknown,5,"[""T1113"",""T1059"",""T1057"",""T1003"",""T1570""]",T1574,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,923,402,unknown_error,Insufficient Balance,"[""relationship::relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8"", ""relationship::relationship--01122760-11f7-4fc9-8500-65ee57a6494f"", ""relationship::relationship--01e22d76-e2ee-407a-834f-e3428df142ba""]",1244,695,,2026-08-06T08:00:02.418972+00:00,0,0,0,0,0.0
ctid,menu_pass::unknown,11,"[""T1105"",""T1135"",""T1018"",""T1046"",""T1016"",""T1003"",""T1569"",""T1560"",""T1074"",""T1537"",""T1047""]",T1553,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,1489,402,unknown_error,Insufficient Balance,"[""relationship::relationship--01000868-19de-44dd-bea5-ad30dae460ad"", ""relationship::relationship--0182aa0a-a8b9-4a6e-9932-88f34f8ceee3"", ""relationship::relationship--01eddb48-5116-494c-9d1c-2ace79b28530""]",1221,692,,2026-08-06T08:00:02.986500+00:00,0,0,0,0,0.0
ctid,turla_snake::unknown,12,"[""T1189"",""T1204"",""T1082"",""T1105"",""T1014"",""T1057"",""T1087"",""T1049"",""T1105"",""T1569"",""T1070"",""T1059""]",T1069,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,1103,402,unknown_error,Insufficient Balance,"[""relationship::relationship--c18652f6-e25c-4e01-bec2-04204a50cf23"", ""relationship::relationship--0061f7aa-fe4e-41e5-8ebf-e9f526bda08f"", ""relationship::relationship--0068ee65-0945-4f69-ba81-163ffbc05e53"", ""relationship::relationship--0077d777-1e32-4b34-ab12-461b34110ffe""]",1326,694,,2026-08-06T08:00:02.601911+00:00,0,0,0,0,0.0
ctid,fin6::unknown,11,"[""T1087"",""T1018"",""T1482"",""T1016"",""T1069"",""T1134"",""T1003"",""T1560"",""T1567"",""T1569"",""T1047""]",T1547,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,919,402,unknown_error,Insufficient Balance,"[""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--01000868-19de-44dd-bea5-ad30dae460ad"", ""relationship::relationship--0182aa0a-a8b9-4a6e-9932-88f34f8ceee3""]",1231,696,,2026-08-06T08:00:02.419240+00:00,0,0,0,0,0.0
ctid,wizard_spider::unknown,18,"[""T1105"",""T1078"",""T1204"",""T1547"",""T1082"",""T1057"",""T1105"",""T1552"",""T1114"",""T1021"",""T1105"",""T1082"",""T1007"",""T1087"",""T1016"",""T1049"",""T1082"",""T1482""]",T1069,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,1331,402,unknown_error,Insufficient Balance,"[""relationship::relationship--002c9202-d7a0-4181-b912-42f7d6d38339"", ""relationship::relationship--005cbf7d-9d0b-443b-91db-7b148a1eb55b"", ""relationship::relationship--011286cc-53bc-4910-bf38-79f1d79fc707""]",1230,697,,2026-08-06T08:00:02.832374+00:00,0,0,0,0,0.0
ctid,turla_carbon::unknown,26,"[""T1566"",""T1204"",""T1069"",""T1059"",""T1574"",""T1105"",""T1112"",""T1033"",""T1110"",""T1070"",""T1570"",""T1053"",""T1069"",""T1018"",""T1003"",""T1105"",""T1550"",""T1070"",""T1056"",""T1070"",""T1105"",""T1021"",""T1105"",""T1021"",""T1070"",""T1205""]",T1189,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,570,402,unknown_error,Insufficient Balance,"[""relationship::relationship--0061f7aa-fe4e-41e5-8ebf-e9f526bda08f"", ""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--01b13af3-d241-47ed-b351-e83604c0d92f"", ""relationship::relationship--01dc7e85-da23-4a0b-937e-a7a6e83c7f53""]",1377,696,,2026-08-06T08:00:02.071548+00:00,0,0,0,0,0.0
ctid,oilrig::unknown,34,"[""T1082"",""T1033"",""T1082"",""T1016"",""T1087"",""T1069"",""T1021"",""T1087"",""T1069"",""T1049"",""T1057"",""T1007"",""T1082"",""T1012"",""T1087"",""T1069"",""T1018"",""T1555"",""T1041"",""T1105"",""T1505"",""T1082"",""T1033"",""T1016"",""T1049"",""T1105"",""T1003"",""T1041"",""T1070"",""T1105"",""T1572"",""T1021"",""T1105"",""T1569""]",T1083,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,526,402,unknown_error,Insufficient Balance,"[""relationship::relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d"", ""relationship::relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9"", ""relationship::relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de""]",1358,658,,2026-08-06T08:00:02.029864+00:00,0,0,0,0,0.0
ctid,apt29::unknown,61,"[""T1036"",""T1059"",""T1119"",""T1016"",""T1033"",""T1041"",""T1057"",""T1007"",""T1082"",""T1069"",""T1087"",""T1012"",""T1036"",""T1134"",""T1548"",""T1112"",""T1055"",""T1036"",""T1018"",""T1016"",""T1057"",""T1070"",""T1082"",""T1049"",""T1003"",""T1547"",""T1134"",""T1003"",""T1134"",""T1081"",""T1552"",""T1036"",""T1113"",""T1115"",""T1056"",""T1041"",""T1105"",""T1134"",""T1053"",""T1134"",""T1018"",""T1059"",""T1083"",""T1134"",""T1105"",""T1113"",""T1083"",""T1059"",""T1041"",""T1070"",""T1529"",""T1070"",""T1037"",""T1204"",""T1070"",""T1518"",""T1082"",""T1033"",""T1057"",""T1134"",""T1003""]",T1546,,[],"{""error"":{""message"":""Insufficient Balance"",""type"":""unknown_error"",""param"":null,""code"":""invalid_request_error""}}",api_error,False,False,False,,False,False,False,,,,,,0,1,485,402,unknown_error,Insufficient Balance,"[""relationship::relationship--000aa4d0-315e-40d7-b2b6-76e91ecf0fe8"", ""relationship::relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8"", ""relationship::relationship--01122760-11f7-4fc9-8500-65ee57a6494f""]",1273,698,,2026-08-06T08:00:01.989429+00:00,0,0,0,0,0.0
